id,artist,album,music,Lyric
<built-in function id>,周杰伦,Initial J,一路向北,"作曲 : 周杰伦
 作词 : 方文山
编曲：蔡科俊
后视镜里的世界越来越远的道别
你转身向背侧脸还是很美
我用眼光去追竟听见你的泪

在车窗外面排徊是我错失的机会
你站的方位跟我中间隔着泪
街景一直在后退你的崩溃在窗外零碎

我一路向北离开有你的季节
你说你好累已无法再爱上谁
风在山路吹过往的画面全都是我不对
细数惭愧我伤你几回


后视镜里的世界越来越远的道别
你转身向背侧脸还是很美
我用眼光去追竟听见你的泪

在车窗外面排徊是我错失的机会
你站的方位跟我中间隔着泪
街景一直在后退你的崩溃在窗外零碎

我一路向北离开有你的季节
你说你好累已无法再爱上谁
风在山路吹过往的画面全都是我不对
细数惭愧我伤你几回

我一路向北离开有你的季节
方向盘周围回转着我的后悔
我加速超越却甩不掉紧紧跟随的伤悲
细数惭愧我伤你几回
停止狼狈就让错纯粹"
<built-in function id>,周杰伦,十一月的萧邦,一路向北,"作曲 : 周杰伦
 作词 : 方文山
后视镜里的世界 越来越远的道别
你转身向背 侧脸还是很美
我用眼光去追 竟听见你的泪
在车窗外面徘徊 是我错失的机会
你站的方位 跟我中间隔着泪
街景一直在后退 你的崩溃在窗外零碎
我一路向北 离开有你的季节
你说你好累 已无法再爱上谁
风在山路吹 过往的画面全都是我不对
细数惭愧 我伤你几回
后视镜里的世界 越来越远的道别
你转身向背 侧脸还是很美
我用眼光去追 竟听见你的泪
在车窗外面徘徊 是我错失的机会
你站的方位 跟我中间隔着泪
街景一直在后退 你的崩溃在窗外零碎
我一路向北 离开有你的季节
你说你好累 已无法再爱上谁
风在山路吹 过往的画面全都是我不对
细数惭愧 我伤你几回
我一路向北 离开有你的季节
方向盘周围 回转着我的后悔
我加速超越 却甩不掉紧紧跟随的伤悲
细数惭愧 我伤你几回
停止狼狈 就让错纯粹"
<built-in function id>,周杰伦,大头贴,大头贴,"这首歌
送给我的朋友
詹宇豪
真的有够 衰
不是别人拍到他
哼~~~
自已拍到自已
听下去
前几天从香港回来
听到狗周刊
拍了宇豪跟Lara
场面有点温馨有点甜蜜
有什么不可以
照片不腥煽色,嘴对嘴
年轻人都试过恋爱
怎么不可以嘴对嘴
我说真心话大冒险游戏
游戏就是这样玩
真心话大冒险游戏
还有更夸张更恐怖的
只是你们没有机会看到啊
张杰说他把过8个妹
弹头说他把过9个妹
两个人还可以互相吹吹
只是你们没有机会看到啊
狗儿啊 狗儿啊 真可怜
拍不到照片还要花大钱
如果你没拍到又这么有空
要不要干脆把宣传照通通拿去用
你 真的要放下那身段
你 真的要为艺人着想
你 这是你天生的使命
不适合跟宇豪拚命
就这样牵着你一直走
我不怕别人怎样说我
就这样牵着你一直走
我不怕别人怎样说我
我怎么会被拍到

怎么会被拍到我也不知道

也许是自己拍到

也许是大头贴
永远不怕大头贴
哪儿~ 哪儿~
哪儿~ 哪儿~
哪儿有大头贴
哪儿~ 哪儿~
哪儿~ 哪儿~
哪儿有大头贴"
<built-in function id>,周杰伦,霍元甲EP,献世 (Live) - live,"作曲 : 周杰伦
 作词 : 林夕
编曲：周杰伦
制作人：周杰伦
吉他：蔡科俊Again/李庭匡
贝斯：陈任佑 鼓：陈柏州
键盘：洪筠惠/洪敬尧/蔡朝华
打击乐：李国华
录音工程：柯宗佑
录音工程录音室：杨大纬录音工作室
混音工程：杨大纬
混音工程录音室：杨大纬录音工作室

我没有胆挂念
你没有心见面
试问我可以去边
只要我出现
只怕你不便
亦连累你丢脸
你是我的秘密
我是你的废物
缺席也不算损失
今晚你生日
祝我有今日
地球上快消失
眼泪还是留给天抚慰
你是前度何必听我吠
再不走 有今生 无下世
你是否想我起这个毒誓
宁愿失恋亦不想失礼
难道要对着你力竭声嘶
即使不抵 都要眼闭
我这种身世
有什么资格献世
你是我的秘密
我是你的废物
缺席也不算损失
今晚你生日
祝我有今日
地球上快消失
眼泪还是留给天抚慰
你是前度何必听我吠
再不走 有今生 无下世
你是否想我起这个毒誓
宁愿失恋亦不想失礼
难道要对着你力竭声嘶
即使不抵 都要眼闭
我这种身世
有什么资格献世
即使不抵 都要眼闭
我这种身世
有什么资格献世"
<built-in function id>,周杰伦,依然范特西,菊花台,"作曲 : 周杰伦
 作词 : 方文山
编曲：钟兴民
制作人：周杰伦
吉他：蔡科俊Again
弦乐编写：钟兴民
Programmer：魏百谦
弦乐团：中国爱乐
录音工程：杨瑞代
录音室：ALFA STUDIO
混音工程：杨大纬
混音录音室：杨大纬录音工作室
弦乐录音师：李岳松(北京)/魏百谦(台北)
弦乐录音室：计划生育录音室(北京)/Room19 Studio (台北)
你的泪光
柔弱中带伤
惨白的月弯弯
勾住过往
夜 太漫长
凝结成了霜
是谁在阁楼上冰冷地绝望
雨 轻轻弹
朱红色的窗
我一生在纸上被风吹乱
梦 在远方
化成一缕香
随风飘散
你的模样
菊花残 满地伤
你的笑容已泛黄
花落人断肠
我心事静静淌
北风乱 夜未央
你的影子剪不断
徒留我孤单在湖面成双
花 已向晚
飘落了灿烂
凋谢的世道上
命运不堪
愁 莫渡江
秋心拆两半
怕你上不了岸
一辈子摇晃
谁 的江山
马蹄声狂乱
我一身的戎装
呼啸沧桑
天 微微亮
你轻声地叹
一夜惆怅 如此委婉
菊花残 满地伤
你的笑容已泛黄
花落人断肠
我心事静静淌
北风乱 夜未央
你的影子剪不断
徒留我孤单在湖面成双
菊花残 满地伤
你的笑容已泛黄
花落人断肠
我心事静静淌
北风乱 夜未央
你的影子剪不断
徒留我孤单在湖面成双"
<built-in function id>,周杰伦,黄金甲EP,黄金甲,"作曲 : 周杰伦
 作词 : 方文山
编曲：林迈可
制作人：周杰伦
吉他：林迈可
鼓：林迈可
Tibet Vax Programming：钟兴民
录音师：杨瑞代/林迈可
录音室：ALFA STUDIO/VIP STUDIO
混音师：林迈可
混音录音室：VIP STUDIO
旌旗如虹 山堆叠如峰
这军队蜿蜒如龙 杀气如风
血色如酒红
将军我傲气如冲 神色悍如凶
黄金甲如忠
铁骑剽悍我行如轰 轰
景色 如冬
萧瑟 如枫
攻势 如弓
魂断 犹如梦中
一静一动 如松
千年不变
如空 如空 如空
血染盔甲 我挥泪杀
满城菊花 谁的天下
宫廷之上 狼烟风沙
生死不过 一刀的疤
仇恨绵延如火 愁人眉头如锁
情感漂泊漂泊 漂泊一世如我
今生繁华如昨 兵戎相见如破
千军万马万马
万马奔腾那骨肉相残如错
陈年战事如酒 成败转眼如秋
遍地烽火烽火 烽火回忆如锈
那烽火回忆如锈
吼 吼 吼 吼
那杀戮过重如否
吼 吼 吼 吼
那烽火回忆如锈
吼 吼 吼 吼
皇室血脉如断流
血染盔甲 我挥泪杀
满城菊花 谁的天下
宫廷之上 狼烟风沙
生死不过 一刀的疤
盔甲 我挥泪杀
满城菊花 谁的天下
宫廷之上 狼烟风沙
生死不过 一刀的疤
血染盔甲 我挥泪杀
横刀立马 看谁倒下
爱恨对话 历史留下
谁在乱箭之中潇洒"
<built-in function id>,周杰伦,依然范特西,迷迭香,"作曲 : 周杰伦
 作词 : 方文山
编曲：钟兴民
制作人：周杰伦
合声编写：周杰伦
合声：周杰伦
吉他：蔡科俊Again
弦乐编写：钟兴民
Programmer：魏百谦
弦乐团：中国爱乐
录音工程：杨瑞代
录音室：ALFA STUDIO
混音工程：杨大纬
混音录音室：杨大纬录音工作室
弦乐录音师：李岳松(北京)/魏百谦(台北)
弦乐录音室：计划生育录音室(北京)/Room19 Studio (台北)
你的嘴角
微微上翘
性感的无可救药
想像不到
如此心跳
你的一切都想要
软性的饮料
上升的气泡
我将对你的喜好
一瓶装全喝掉
这里最不缺就是热闹
你煽情给拥抱
烛火在燃烧
有某种情调
眼神失焦了几秒
关于你的舞蹈
你慵懒的扭动着腰
受不了
你随风飘扬的笑
有迷迭香的味道
语带薄荷味的撒娇
对我发出恋爱的讯号
你优雅的像一只猫
动作轻逸的围绕
爱的甜味蔓延发酵
暧昧来的刚好
软性的饮料
上升的气泡
我将对你的喜好
一瓶装全喝掉
这里最不缺就是热闹
你煽情给拥抱
烛火在燃烧
有某种情调
眼神失焦了几秒
关于你的舞蹈
你慵懒的扭动着腰
受不了
你随风飘扬的笑
有迷迭香的味道
语带薄荷味的撒娇
对我发出恋爱的讯号
你优雅的像一只猫
动作轻逸的围绕
爱的甜味蔓延发酵
暧昧来的刚好
你的嘴角微微上翘
性感的无可救药
想象不到如此心跳
你的一切都想要
你的唇膏鲜艳讨好
一股自信的骄傲
什么预兆气氛微妙
因为爱你我知道
预兆气氛微妙
因为爱你我知道"
<built-in function id>,周杰伦,依然范特西,心雨,"作曲 : 周杰伦
 作词 : 方文山
编曲：林迈可
制作人：周杰伦
合声编写：周杰伦
合声：周杰伦
Programmer：林迈可(Michael Lin)
弦乐编写：钟兴民
Programmer：魏百谦
弦乐团：中国爱乐
录音工程：杨瑞代
录音室：ALFA STUDIO/VIP STUDIO
混音工程：林迈可(Michael Lin)
混音录音室：VIP STUDIO
弦乐录音师：李岳松(北京)/魏百谦(台北)
弦乐录音室：计划生育录音室(北京)/Room19 Studio (台北)
橡树的绿叶啊
白色的竹篱笆
好想告诉我的她
这里像幅画
去年的圣诞卡
镜子里的胡渣
画面开始没有她
我还在装傻
说好为我泡花茶
学习摆刀叉
学生宿舍
空荡荡的家
守着电话却
等不到她
心里的雨
倾盆而下
也沾不湿她的发
泪晕开明信片
上的牵挂
那伤心原来
没有时差
心里的雨倾盆而下
却始终淋不到她
寒风经过
院子里的枝桠
也冷却了
我手中的鲜花
橡树的绿叶啊
白色的竹篱笆
好想告诉我的她
这里像幅画
去年的圣诞卡
镜子里的胡渣
画面开始没有她
我还在装傻
说好为我泡花茶
学习摆刀叉
学生宿舍
空荡荡的家
守着电话
却等不到她
心里的雨
倾盆而下
也沾不湿她的发
泪晕开明信片
上的牵挂
那伤心
原来没有时差
心里的雨
倾盆而下
却始终淋不到她
寒风经过
院子里的枝桠
也冷却了
我手中的鲜花
心里的雨
倾盆而下
也沾不湿她的发
泪晕开明信片
上的牵挂
那伤心原来
没有时差
心里的雨
倾盆的下
却始终淋不到她
寒风经过
院子里的枝桠
也冷却了
我手中的鲜花"
<built-in function id>,周杰伦,依然范特西,红模仿,"作曲 : 周杰伦
 作词 : 周杰伦
编曲：林迈可(Michael Lin)
制作人：周杰伦
Nylon吉他：林迈可(Michael Lin)
Programmer：林迈可(Michael Lin)
录音工程：杨瑞代 / 林迈可(Michael Lin)
录音室：ALFA Studio / VIP Studio
混音工程：林迈可(Michael Lin)
混音录音室：VIP Studio

哎呦 吉他谁教你的
哎呦 我生下来就会啊 你不知道啊
哎呦 屁咧

中国风的歌曲 有增无减
是好是坏 问方文山最清楚
从娘子唱到双截棍
东风破到发如雪
一路走来始终如一
多样的曲风 独爱中国风
我坚持风格
我活在我的世界 谁都插不上嘴
唱反调 是我的本性
出奇不意是我的个性
就算我站在山顶
也只不过是个平民老百姓
但我的肩膀 会有两块空地
那就是勇气与毅力
我要做音乐上的皇帝
哼哼哈兮 哼哼哈兮
哼哼哈兮 哼哼哈兮
下坡的路 不费功夫
别人已经帮你铺路
但我选择上坡 因为我取名叫自负
谦虚和那虚伪 就只差一个字
有时有点分不清
因为我喜欢真实的自己
我不能够后退 因为不是绿叶
如果只是点缀 愿当皎洁明月
小草等待风吹 不用靠你的背
假如天会很黑 我会请嫦娥奔月

为什么写这首歌
我现在还找不到动机
不过用心听下去
你会觉得更有意义
如果你对未来产生恐惧
眼前雾濛濛一片
那是因为你没把眼镜给擦干净
勇敢走下去 这首歌会陪你前进
我常常在想宇宙只有一颗太阳
为什么我的影子这么多 这么像
战胜幻象 和我一样
喜欢模仿的朋友们
崇拜是件好事
欣赏是种美德
但走在我后面 我很担心
别人会看不见你
到最后只是一个接一个的分身
这样的鼓励 是否太直接 太讽刺
老师在讲 到底有没有在听啊
我告诉你 做自己胜于跟太紧
最大的敌人就是那内心的自己
我不能够后退 因为不是绿叶
如果只是点缀 愿当皎洁明月
小草等待风吹 不用靠你的背
假如天会很黑 我会请嫦娥奔月

哎呦哎呦喔 哎呦哎呦喔喔
哎呦 不错
哎呦哎呦喔 哎呦哎呦哎呦喔喔
哎呦 好久不见
哎呦哎呦喔 哎呦哎呦喔喔
哎呦 的意思是
哎呦哎呦喔 哎呦哎呦哎呦喔喔
就是你没话讲的时候可以 哎呦
哎呦哎呦喔 哎呦哎呦喔喔
哎呦哎呦喔 哎呦哎呦喔喔
哎呦哎呦喔 哎呦哎呦哎呦喔喔
哎呦哎呦喔 哎呦哎呦喔嘿
哎呦哎呦喔 哎呦哎呦喔喔
哎呦哎呦喔 哎呦哎呦喔喔
哎呦哎呦喔 哎呦哎呦哎呦喔喔
哎呦哎呦喔 哎呦哎呦喔嘿"
<built-in function id>,周杰伦,依然范特西,退后,"作曲 : 周杰伦
 作词 : 宋健彰(弹头)
编曲：林迈可
制作人：周杰伦
合声编写：周杰伦
合声：周杰伦
吉他：林迈可(Michael Lin)
Programmer：林迈可(Michael Lin)
录音工程：杨瑞代 / 林迈可(Michael Lin)
录音室：ALFA STUDIO / VIP Studio
混音工程：林迈可 (Michael Lin)
混音录音室：VIP Studio

天空灰的像哭过
离开你以后
并没有更自由

酸酸的空气
嗅出我们的距离
一幕锥心的结局
像呼吸般无法停息

抽屉泛黄的日记
榨干了回忆
那笑容是夏季

你我的过去
被顺时针的忘记
缺氧过后的爱情
粗心的眼泪是多余

我知道你我都没有错
只是忘了怎么退后
信誓旦旦给了承诺
全被时间扑了空

我知道我们都没有错
只是放手会比较好过

最美的爱情回忆里待续

天空灰的像哭过
离开你以后
并没有更自由

酸酸的空气
嗅出我们的距离
一幕锥心的结局
像呼吸般无法停息

抽屉泛黄的日记
榨干了回忆
那笑容是夏季

你我的过去
被顺时针的忘记
缺氧过后的爱情
粗心的眼泪是多余

我知道你我都没有错
只是忘了怎么退后
信誓旦旦给了承诺
全被时间扑了空

我知道我们都没有错
只是放手会比较好过

最美的爱情回忆里待续
我知道你我都没有错
只是忘了怎么退后
信誓旦旦给了承诺
全被时间扑了空

我知道我们都没有错
只是放手会比较好过

最美的爱情回忆里待续"
